City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
276,Dunedin,NZ,-45.8742,170.5036,44.8,73,70,18.99,broken clouds
277,Bilma,NE,18.6853,12.9164,95.88,13,39,17.92,scattered clouds
278,Hopeman,GB,57.7068,-3.4291,57.02,73,75,6.91,broken clouds
279,Chicama,PE,-7.8447,-79.1469,59.54,90,59,5.75,broken clouds
280,Egvekinot,RU,66.3167,-179.1667,53.44,68,100,3.33,overcast clouds
281,Paamiut,GL,61.994,-49.6678,42.06,79,100,4.88,overcast clouds
282,Kruisfontein,ZA,-34.0033,24.7314,61.88,79,100,19.89,light rain
283,Cabedelo,BR,-6.9811,-34.8339,72.27,85,13,13.53,few clouds
284,Sabha,LY,27.0377,14.4283,82.02,32,1,16.13,clear sky
285,San Jose,US,37.3394,-121.895,63.0,84,20,6.91,few clouds
286,Trecate,IT,45.4348,8.7368,84.34,58,0,3.44,clear sky
287,La Rioja,ES,42.25,-2.5,60.58,20,1,2.95,clear sky
288,Bolivar,US,37.6145,-93.4105,70.56,71,0,6.06,clear sky
289,Blackwater,AU,-23.5833,148.8833,53.71,46,0,8.86,clear sky
290,Calvia,ES,39.5657,2.5062,87.91,49,0,4.05,clear sky
291,Iqaluit,CA,63.7506,-68.5145,38.93,86,20,2.3,few clouds
292,Rajgarh,IN,28.6333,75.3833,101.61,32,66,10.02,broken clouds
293,Katherine,AU,-14.4667,132.2667,79.12,12,58,13.8,broken clouds
294,Beipiao,CN,41.7919,120.7792,88.92,32,1,8.37,clear sky
295,Nicolas Bravo,MX,18.45,-88.9167,74.01,99,100,3.27,overcast clouds
296,Macultepec,MX,18.1667,-92.8333,78.1,87,98,7.43,overcast clouds
297,Tsiroanomandidy,MG,-18.7667,46.0333,75.54,37,0,3.96,clear sky
298,Poum,NC,-20.2333,164.0167,74.12,58,100,19.08,overcast clouds
299,Bengkulu,ID,-3.8004,102.2655,83.19,80,62,6.93,broken clouds
300,Coquimbo,CL,-29.9533,-71.3436,53.33,93,100,1.14,overcast clouds
301,Sapele,NG,5.8941,5.6767,74.61,94,100,2.95,light rain
302,Winnemucca,US,40.973,-117.7357,73.45,16,0,9.22,clear sky
303,Suraabad,AZ,40.8192,49.4687,82.74,53,17,6.31,few clouds
304,Mazatlan,MX,23.2167,-106.4167,84.02,85,100,0.0,overcast clouds
305,Kavieng,PG,-2.5744,150.7967,80.15,82,100,10.2,light rain
306,Kattivakkam,IN,13.2167,80.3167,93.29,59,100,15.41,overcast clouds
307,Hutchinson,US,38.0608,-97.9298,76.03,64,0,1.01,clear sky
308,Puerto Leguizamo,CO,-0.1934,-74.7819,70.86,99,99,0.43,overcast clouds
309,Romans-Sur-Isere,FR,45.0464,5.0562,85.55,55,0,2.3,clear sky
310,Yulara,AU,-25.2406,130.9889,63.1,28,0,13.31,clear sky
311,Mujiayingzi,CN,42.1167,118.7833,87.01,26,1,12.88,clear sky
312,Rawson,AR,-43.3002,-65.1023,42.64,68,100,8.72,overcast clouds
313,Miandoab,IR,36.9694,46.1027,91.78,13,1,2.62,clear sky
314,Chardara,KZ,41.2547,67.9692,90.1,26,0,1.74,clear sky
315,Turbat,PK,26.0023,63.044,105.85,12,8,5.44,clear sky
316,Am Timan,TD,11.0297,20.2827,76.44,72,100,3.87,overcast clouds
317,Dikson,RU,73.5069,80.5464,43.0,77,85,9.86,overcast clouds
318,San Felipe,VE,10.3399,-68.7425,71.33,92,97,3.6,overcast clouds
319,Kasongo-Lunda,CD,-6.4667,16.8167,80.8,27,7,4.07,clear sky
320,Santa Cruz De Tenerife,ES,28.4682,-16.2546,74.91,79,40,16.11,scattered clouds
321,Puerto Madryn,AR,-42.7692,-65.0385,45.18,64,100,13.09,overcast clouds
322,Skibbereen,IE,51.55,-9.2667,61.11,75,8,2.8,clear sky
323,Beloha,MG,-25.1667,45.05,77.2,39,0,7.11,clear sky
324,Begichevskiy,RU,53.7961,38.255,68.92,60,100,3.38,light rain
325,Janauba,BR,-15.8025,-43.3089,65.5,60,100,7.72,overcast clouds
326,Honningsvag,NO,70.9821,25.9704,56.95,94,100,0.0,overcast clouds
327,Mecca,SA,21.4267,39.8261,99.1,21,94,8.46,overcast clouds
328,Jacareacanga,BR,-6.2222,-57.7528,70.47,69,7,1.66,clear sky
329,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,83,76,10.6,broken clouds
330,Poronaysk,RU,49.2167,143.1167,57.94,90,100,6.53,overcast clouds
331,Noumea,NC,-22.2763,166.4572,72.0,99,96,16.71,light rain
